Country Name,Country Code,Series Name,2015 [YR2015]
Costa Rica,CRI,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Costa Rica,CRI,CO2 emissions from gaseous fuel consumption (% of total),..
Costa Rica,CRI,GDP (current US$),51106697024
Costa Rica,CRI,GDP growth (annual %),2.757443821
Costa Rica,CRI,GDP per capita (current US$),10629.84432
Costa Rica,CRI,"Population, total",4807850
Costa Rica,CRI,Surface area (sq. km),51100
Croatia,HRV,CO2 emissions (kg per PPP $ of GDP),..
Croatia,HRV,CO2 emissions (kt),..
Croatia,HRV,CO2 emissions (metric tons per capita),..
Croatia,HRV,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Croatia,HRV,CO2 emissions from gaseous fuel consumption (% of total),..
Croatia,HRV,GDP (current US$),48732003674
Croatia,HRV,GDP growth (annual %),1.644613259
Croatia,HRV,GDP per capita (current US$),11535.82936
Croatia,HRV,"Population, total",4224404
Croatia,HRV,Surface area (sq. km),56590
Cuba,CUB,CO2 emissions (kg per PPP $ of GDP),..
Cuba,CUB,CO2 emissions (kt),..
Cuba,CUB,CO2 emissions (metric tons per capita),..
Cuba,CUB,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cuba,CUB,CO2 emissions from gaseous fuel consumption (% of total),..
Cuba,CUB,GDP (current US$),..
Cuba,CUB,GDP growth (annual %),..
Cuba,CUB,GDP per capita (current US$),..
Cuba,CUB,"Population, total",11389562
Cuba,CUB,Surface area (sq. km),109880
Curacao,CUW,CO2 emissions (kg per PPP $ of GDP),..
Curacao,CUW,CO2 emissions (kt),..
Curacao,CUW,CO2 emissions (metric tons per capita),..
Curacao,CUW,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Curacao,CUW,CO2 emissions from gaseous fuel consumption (% of total),..
Curacao,CUW,GDP (current US$),..
Curacao,CUW,GDP growth (annual %),..
Curacao,CUW,GDP per capita (current US$),..
Curacao,CUW,"Population, total",158040
Curacao,CUW,Surface area (sq. km),444
Cyprus,CYP,CO2 emissions (kg per PPP $ of GDP),..
Cyprus,CYP,CO2 emissions (kt),..
Cyprus,CYP,CO2 emissions (metric tons per capita),..
Cyprus,CYP,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Cyprus,CYP,CO2 emissions from gaseous fuel consumption (% of total),..
Cyprus,CYP,GDP (current US$),19319729400
Cyprus,CYP,GDP growth (annual %),1.586206341
Cyprus,CYP,GDP per capita (current US$),22957.39798
Cyprus,CYP,"Population, total",1165300
Cyprus,CYP,Surface area (sq. km),9250
Czech Republic,CZE,CO2 emissions (kg per PPP $ of GDP),..
Czech Republic,CZE,CO2 emissions (kt),..
Czech Republic,CZE,CO2 emissions (metric tons per capita),..
Czech Republic,CZE,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Czech Republic,CZE,CO2 emissions from gaseous fuel consumption (% of total),..
Czech Republic,CZE,GDP (current US$),1.82E+11
Czech Republic,CZE,GDP growth (annual %),4.198049657
Czech Republic,CZE,GDP per capita (current US$),17231.28171
Czech Republic,CZE,"Population, total",10551219
Czech Republic,CZE,Surface area (sq. km),78870
Democratic Republic of the Congo,COD,CO2 emissions (kg per PPP $ of GDP),..
Democratic Republic of the Congo,COD,CO2 emissions (kt),..
Democratic Republic of the Congo,COD,CO2 emissions (metric tons per capita),..
Democratic Republic of the Congo,COD,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Democratic Republic of the Congo,COD,CO2 emissions from gaseous fuel consumption (% of total),..
Democratic Republic of the Congo,COD,GDP (current US$),35237742278
Democratic Republic of the Congo,COD,GDP growth (annual %),6.91618781
Democratic Republic of the Congo,COD,GDP per capita (current US$),456.0527405
Democratic Republic of the Congo,COD,"Population, total",77266814
Democratic Republic of the Congo,COD,Surface area (sq. km),2344860
Denmark,DNK,CO2 emissions (kg per PPP $ of GDP),..
Denmark,DNK,CO2 emissions (kt),..
Denmark,DNK,CO2 emissions (metric tons per capita),..
Denmark,DNK,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Denmark,DNK,CO2 emissions from gaseous fuel consumption (% of total),..
Denmark,DNK,GDP (current US$),2.95E+11
Denmark,DNK,GDP growth (annual %),1.178551281
Denmark,DNK,GDP per capita (current US$),52002.15104
Denmark,DNK,"Population, total",5676002
Denmark,DNK,Surface area (sq. km),43090
Djibouti,DJI,CO2 emissions (kg per PPP $ of GDP),..
Djibouti,DJI,CO2 emissions (kt),..
Djibouti,DJI,CO2 emissions (metric tons per capita),..
Djibouti,DJI,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",..
Djibouti,DJI,CO2 emissions from gaseous fuel consumption (% of total),..
Djibouti,DJI,GDP (current US$),..
Djibouti,DJI,GDP growth (annual %),..
Djibouti,DJI,GDP per capita (current US$),..
Djibouti,DJI,"Population, total",887861
Djibouti,DJI,Surface area (sq. km),23200
Dominica,DMA,CO2 emissions (kg per PPP $ of GDP),..
Dominica,DMA,CO2 emissions (kt),..
